nusa tenggara timur,-8.657382,121.07937
kabupaten alor,-8.292843,124.55284
kabupaten belu,-9.153898,124.90655
kabupaten ende,-8.676291,121.71954
kabupaten flores timur,-8.313094,122.9663
kabupaten kupang,-10.177199,123.60703
kabupaten lembata,-8.471908,123.48319
kabupaten manggarai,-8.679699,120.38966
kabupaten manggarai barat,-8.668815,120.06652
kabupaten manggarai timur,-8.620671,120.61999
kabupaten ngada,-8.743042,120.98763
kabupaten nagekeo,-8.675355,121.30841
kabupaten rote ndao,-10.738642,123.1239
kabupaten sabu raijua,-10.5541115,121.83349
kabupaten sikka,-8.676618,122.12918
kabupaten sumba barat,-9.654833,119.394714
kabupaten sumba barat daya,-9.539139,119.13906
kabupaten sumba tengah,-9.487923,119.696266
kabupaten sumba timur,-9.98021,120.34355
kabupaten timor tengah selatan,-9.776281,124.41982
kabupaten timor tengah utara,-9.452265,124.59713
kota kupang,-10.177199,123.60703
kalimantan,0.9618834,114.55485
kalimantan barat,-0.2787808,111.47529
kabupaten bengkayang,1.06911,109.66393
kabupaten kapuas hulu,0.8336697,113.0012
kabupaten kayong utara,-0.9225877,110.04497
kabupaten ketapang,-1.859098,109.9719
kabupaten kubu raya,-0.3533938,109.4735
kabupaten landak,0.4237287,109.75917
kabupaten melawi,-0.7000681,111.66607
kabupaten pontianak,-0.0263303,109.34251
kabupaten sambas,1.3625191,109.28315
kabupaten sanggau,0.119275,110.5973
kabupaten sekadau,-0.0697175,110.99835
kabupaten sintang,-0.1378068,112.810555
kota pontianak,-0.0263303,109.34251
kota singkawang,0.9060204,108.987206
kalimantan selatan,-3.0926416,115.28376
kabupaten balangan,-2.3260424,115.61547
kabupaten banjar,-3.3200228,114.999146
kabupaten barito kuala,-3.0714738,114.666794
kabupaten hulu sungai selatan,-2.766268,115.23634
kabupaten hulu sungai tengah,-2.6153162,115.52074
kabupaten hulu sungai utara,-2.4421225,115.18892
kabupaten kotabaru,-6.3889127,107.49135
kabupaten tabalong,-1.864302,115.56811
kabupaten tanah bumbu,-3.4512243,115.56811
kabupaten tanah laut,-3.7694046,114.80927
